"","X.1","X","Y","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","cluster","hclust","Cluster_final"
"61",61,-13.8583707055711,10.2572806175062,1516000055,"12/10/2014",650000,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,2570,18900,2,6,"med"
"62",62,3.79966785430837,21.1100270769662,9558200045,"8/28/2014",289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,1,1,"low"
"63",63,-11.0450200560445,4.13311367414437,5072410070,"10/21/2014",505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,3,6,"med"
"64",64,-23.1505981064265,-12.2917362395415,9528102996,"12/7/2014",549000,3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,3,7,"med"
"65",65,-1.66978075770775,8.16349413526935,1189001180,"6/3/2014",425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,1,6,"med"
"66",66,-8.5429427903245,26.3713641904207,3253500160,"11/20/2014",317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,1,1,"low"
"67",67,-2.09502628670244,-16.3213278485633,3394100030,"9/9/2014",975000,4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,3,8,"top"
"68",68,15.1906584505465,-15.2777363162406,3717000160,"10/9/2014",287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,3,5,"low"
"69",69,17.8685682425663,2.82361246977612,1274500060,"8/25/2014",204000,3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,2,9,"low"
"70",70,9.06566478400415,-0.770287207741497,1802000060,"6/12/2014",1330000,5,2.25,3200,20158,1,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158,2,3,"med"
"71",71,9.81087076184369,-1.65017796197314,1525059190,"9/12/2014",1040000,5,3.25,4770,50094,1,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917,2,3,"med"
"72",72,6.74125124281545,4.66278321161506,1049000060,"1/5/2015",325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,2,3,"med"
"73",73,-5.84706614637105,27.8366213491506,8820901275,"6/10/2014",571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,1,1,"low"
"74",74,9.85606739759757,-18.5288646791735,5416510140,"7/10/2014",360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,3,5,"low"
"75",75,15.3466784208775,2.5261045932659,3444100400,"3/16/2015",349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,2,9,"low"
"76",76,-6.50026477701887,-15.5179550153098,3276920270,"11/5/2014",832500,4,4,3430,35102,2,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.987,3240,35020,3,8,"top"
"77",77,8.8528825482683,2.19782095080569,4036801170,"10/13/2014",380000,4,1.75,1760,7300,1,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,2,3,"med"
"78",78,1.97159703355004,17.0144921808345,2391600320,"4/20/2015",480000,3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,1,1,"low"
"79",79,-4.52437886465174,17.2305574033134,6300000287,"6/9/2014",410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,1,1,"low"
"80",80,7.92433730266193,-17.7848614891332,1531000030,"3/23/2015",720000,4,2.5,3450,39683,2,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750,3,5,"low"
"81",81,10.2140714804292,-17.9605118768996,5104520400,"12/2/2014",390000,3,2.5,2350,5100,2,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,3,5,"low"
"82",82,11.1906035122691,-21.1994719704149,7437100340,"12/22/2014",360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,3,5,"low"
"83",83,0.39814543411889,24.4177993044692,9418400240,"10/28/2014",355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,1,1,"low"
"84",84,13.1434295519863,5.3428367068392,1523059105,"1/28/2015",356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,2,9,"low"
"85",85,0.000178143135420305,14.2482015191606,1133000671,"6/2/2014",315000,3,1,960,6634,1,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,1,1,"low"
"86",86,-11.3289681232624,22.1392079927463,4232902595,"11/14/2014",940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,1,1,"low"
"87",87,16.7070725895403,4.82098310703923,2599001200,"11/3/2014",305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,2,9,"low"
"88",88,4.93243210595582,-15.5220768419456,3342103156,"6/18/2014",461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,3,5,"low"
"89",89,9.06807241132878,-9.57757433022713,1332700270,"5/19/2014",215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,3,5,"low"
"90",90,-19.8810369197391,-4.83046903969071,3869900162,"9/4/2014",335000,2,1.75,1030,1066,2,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,3,7,"med"
"91",91,16.1494772931887,-14.0993543478847,2791500270,"5/22/2014",243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,3,5,"low"
"92",92,-13.7907838418139,-7.83619745922074,5036300431,"3/11/2015",1100000,5,2.75,3520,6353,2,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,3,7,"med"
"93",93,21.2044327016933,-0.607397339997632,4168000060,"2/26/2015",153000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,2,9,"low"
"94",94,-1.38740982985498,19.1568991466067,6021501535,"7/25/2014",430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,1,1,"low"
"95",95,-1.44850780024762,18.8147687906978,6021501535,"12/23/2014",7e+05,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,1,1,"low"
"96",96,-27.8923434181382,6.0428575207331,1483300570,"9/8/2014",905000,4,2.5,3300,10250,1,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,2,2,"top"
"97",97,19.1091469916987,-0.80686645645061,3422049190,"3/30/2015",247500,3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616,2,9,"low"
"98",98,19.6324238382924,2.15376049028005,1099611230,"9/12/2014",199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,2,9,"low"
"99",99,15.3312562198064,2.84595179849932,722079104,"7/11/2014",314000,3,1.75,1810,41800,1,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036,2,9,"low"
"100",100,5.0831659045817,-28.4432967515923,7338200240,"5/16/2014",437500,3,2.5,2320,36847,2,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,2550,35065,3,4,"med"
"101",101,-9.84291757619078,25.450870346451,1952200240,"6/11/2014",850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,1,1,"low"
"102",102,-6.06241030082161,24.1532924014972,5200100125,"10/27/2014",555000,3,2,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,1,1,"low"
"103",103,-0.193428217935513,-22.3538971046515,7214720075,"12/12/2014",699950,3,2.25,2190,107593,2,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777,3,4,"med"
"104",104,-26.2510179584376,5.88940648755795,2450000295,"10/7/2014",1090000,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,3,2,"top"
"105",105,15.9663434845116,8.6023918075495,6197800045,"9/24/2014",290000,3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,1640,14910,2,9,"low"
"106",106,13.7456584624923,0.0254166887155584,1328310370,"4/2/2015",375000,3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,2,9,"low"
"107",107,-5.7038766653228,21.1388076481554,546000875,"5/23/2014",460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,1,1,"low"
"108",108,8.4274693909269,14.4501807731635,3530510041,"7/23/2014",188500,2,1.75,1240,2493,1,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,2,1,"low"
"109",109,-4.63994770710604,-13.3043193388006,1853000400,"3/5/2015",680000,4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.082,2990,35001,3,8,"top"
"110",110,-0.401466747922319,-9.1286978571057,3134100116,"8/27/2014",470000,5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,3,8,"top"
"111",111,3.79690530801374,-20.6987658667167,9545230140,"7/25/2014",597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636,3,4,"med"
"112",112,-4.54950523714726,21.5198835176784,3362400511,"3/4/2015",570000,3,1.75,1260,3328,1,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536,1,1,"low"
"113",113,16.7883005482372,1.50310335120676,2525310310,"9/16/2014",272500,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,2,9,"low"
"114",114,-11.9217181106044,11.3540193941637,6126500060,"11/24/2014",329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,1,6,"med"
"115",115,14.3710213302734,-23.2697004013949,8961960160,"10/28/2014",480000,4,2.5,3230,16171,2,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,8517,3,5,"low"
"116",116,-24.3438126616384,8.53062142470327,3626039325,"11/21/2014",740500,3,3.5,4380,6350,2,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350,1,2,"top"
"117",117,-24.0113213441226,-8.68807293836655,3362400431,"6/26/2014",518500,3,3.5,1590,1102,3,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166,3,7,"med"
"118",118,6.04187219826677,15.4838813505156,4060000240,"6/23/2014",205425,2,1,880,6780,1,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,1,1,"low"
"119",119,-5.8080786761514,8.73039486636495,3454800060,"1/8/2015",171800,4,2,1570,9600,1,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,1,6,"med"
"120",120,-7.08348417912278,22.3372666790884,1695900060,"5/11/2015",535000,4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040,1,1,"low"
"121",121,-14.8302052789287,11.2130388172951,7278700070,"1/2/2015",660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,1,6,"med"
"122",122,1.87424928262818,-0.227775876694575,6675500070,"11/19/2014",391500,3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,1,3,"med"
"123",123,-0.227333205949627,15.3610954911437,3626039187,"4/6/2015",395000,2,1,770,6000,1,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000,1,1,"low"
"124",124,-7.42252288223864,24.4487368020625,3524049083,"11/4/2014",445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,1,1,"low"
"125",125,-4.23832677123262,-15.5534949334229,3275860240,"6/18/2014",770000,3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,3,8,"top"
"126",126,-26.2332647060967,5.47128891317071,4389200955,"3/2/2015",1450000,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,3,2,"top"
"127",127,-13.2194548908894,10.4335082894029,4058801670,"7/17/2014",445000,3,2.25,2100,8201,1,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,1,6,"med"
"128",128,25.8190709653114,-1.80378076428741,8732020310,"7/17/2014",260000,4,2.25,2160,8811,1,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,2,9,"low"
"129",129,-9.39965683636894,25.1923504015957,2331300505,"6/13/2014",822500,5,3.5,2320,4960,2,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,1,1,"low"
"130",130,4.77526136897462,-25.8762123447421,7853210060,"4/6/2015",430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,3,4,"med"
"131",131,17.4442884634101,3.75337792555366,3668000070,"1/5/2015",212000,3,1.75,1060,7875,1,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,2,9,"low"
"132",132,4.79059661114053,-6.07444672457198,9545240070,"4/28/2015",660500,4,2.25,2010,9603,1,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,3,8,"top"
"133",133,-8.23159201985028,-13.3808511324506,1243100136,"6/12/2014",784000,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,98052,47.697,-122.072,2480,88500,3,8,"top"
"134",134,4.712332220394,-21.5583468388078,8929000270,"5/12/2014",453246,3,2.5,2010,2287,2,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,1662,3,4,"med"
"135",135,-23.2797992856325,-7.73335875057025,2767602356,"1/26/2015",675000,4,3.5,2140,2278,3,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,3,7,"med"
"136",136,19.6186536654722,1.83417794937351,921049315,"8/13/2014",199000,3,1.75,1320,17390,1,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265,2,9,"low"
"137",137,21.1090784116004,-1.14555385520641,3655000070,"8/5/2014",220000,4,1.75,2020,7840,1,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140,2,9,"low"
"138",138,4.74171630533085,1.47703694311279,4027700812,"5/29/2014",452000,4,2.25,2590,10002,1,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436,2,3,"med"
"139",139,-1.48258332747979,15.7110114015146,3992700335,"7/7/2014",382500,2,1,1190,4440,1,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,1,1,"low"
"140",140,-24.2410889611016,-8.10706203820183,2767603505,"5/7/2014",519950,3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,3,7,"med"
"141",141,-0.703970994411069,18.9706863210316,4232901525,"6/27/2014",665000,2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,1,1,"low"
"142",142,10.0456721840793,-0.827507076646238,1777500060,"7/8/2014",527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375,2,3,"med"
