"","X","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"12",12,9212900260,"5/27/2014",468000,2.57580153042886,1,1160,6000,1,"WF_NO",0,"Co_4_High","7",860,300,1942,0,98115,47.69,-122.292,1330,6000
"13",13,114101516,"5/28/2014",310000,3,1,1430,19901,1.5,"WF_NO",0,"Co_4_High","7",1430,0,1974.3926810162,0,98028,477.558,-122.229,1780,12697
"14",14,6054650070,"10/07/2014",4e+05,3,1.75,1370,9680,1,"WF_NO",0,"Co_4_High","7",1370,0,1977,0,98074,476.127,-122.045,1370,10208
"15",15,1175000570,"03/12/2015",530000,5,2,1810,4850,1.5,"WF_NO",0,"Co_3_Med","7",1810,0,1900,0,98107,47.67,-122.394,1360,4850
"16",16,9297300055,"1/24/2015",650000,4,3,2950,5000,2,"WF_NO",3,"Co_3_Med","9",1980,970,1979,0,98126,475.714,-122.375,2140,4000
"17",17,1875500060,"7/31/2014",395000,3,2,1890,14040,2,"WF_NO",0,"Co_3_Med","7",1890.03504775559,0,1994,0,98019,477.277,-121.962,1890,14018
"18",18,6865200140,"5/29/2014",485000,4,1,1600,4300,1.5,"WF_NO",0,"Co_4_High","7",1600,0,1916,0,98103,476.648,-122.343,1610,4300
"19",19,16000397,"12/05/2014",189000,2,1,1200,9850,1.5,"WF_NO",0,"Co_4_High","7",1200,0,1921,0,98002,473.089,-122.21,1060,5095
"20",20,7983200060,"4/24/2015",230000,3,1,1250,9774,1,"WF_NO",0,"Co_4_High","7",1250,0,1969,0,98003,473.343,-122.306,1280,8850
"21",21,6300500875,"5/14/2014",385000,4,1.75,1620,4980,1,"WF_NO",0,"Co_4_High","7",860,760,1947,0,98133,477.025,-122.341,1400,4980
"22",22,2524049179,"8/26/2014",2e+06,3,2.75,3050,44867,1,"WF_NO",4,"Co_3_Med","9",2330,720,1968,0,98040,475.316,-122.233,4110,20336
"23",23,7137970340,"07/03/2014",285000,4.08849287425301,2.5,2270,6300,2,"WF_NO",0,"Co_3_Med","8",2270,0,1995,0,98092,473.266,-122.169,2240,7005
"24",24,8091400200,"5/16/2014",252700,2,1.5,1070,9643,1,"WF_NO",0,"Co_3_Med","7",1070,0,1985,0,98030,473.533,-122.166,1220,8386
"25",25,3814700200,"11/20/2014",329000,3,2.25,2450,6500,2,"WF_NO",0,"Co_4_High","8",2450,0,1985,0,98030,473.739,-122.172,2200,6865
"26",26,1202000200,"11/03/2014",233000,3,2,1710,4697,1.5,"WF_NO",0,"Co_5_Top","6",1710,0,1941,0,98002,473.048,-122.218,1030,4705
"27",27,1794500383,"6/26/2014",937000,3,1.75,2450,-1813.16433149932,2,"WF_NO",0,"Co_3_Med","6",1750,700,1915,0,98119,476.386,-122.36,1760,3573
"28",28,3303700376,"12/01/2014",667000,3,1,1400,1581,1.5,"WF_NO",0,"Co_5_Top","8",1400,0,1909,0,98112,476.221,-122.314,1860,3861
"29",29,5101402488,"6/24/2014",438000,3,1.75,1520,6380,1,"WF_NO",0,"Co_3_Med","7",790,730,1948,0,98115,47.695,-122.304,1520,6235
"30",30,1873100390,"03/02/2015",719000,4,2.5,2570,7173,2,"WF_NO",0,"Co_3_Med","8",2569.78010688769,0,2005,0,98052,477.073,-122.11,2630,6026
"31",31,8562750320,"11/10/2014",580500,3,2.5,2320,3980,2,"WF_NO",0,"Co_3_Med","8",2320,0,2003,0,98027,475.391,-122.07,2580,3980
"32",32,2426039314,"12/01/2014",280000,2,1.5,1190,1265,3,"WF_NO",0,"Co_3_Med","7",1190,0,2005,0,98133,477.274,-122.357,1390,1756
"33",33,461000390,"6/24/2014",687500,4,1.75,2330,5000,1.5,"WF_NO",0,"Co_4_High","7",1510,820,1929,0,98117,476.823,-122.368,1460,5000
"34",34,7589200193,"11/10/2014",535000,3,1,1090,34014.2878954813,1.5,"WF_NO",0,"Co_4_High","8",1090,0,1941.7672860781,0,98117,476.889,-122.375,1570,5080
"35",35,7955080270,"12/03/2014",322500,4,2.75,2060,6659,1,"WF_NO",0,"Co_3_Med","7",1280,780,1981,0,98058,474.276,-122.157,2020,8720
"36",36,9547205180,"6/13/2014",696000,3,2.5,2300,3060,1.5,"WF_NO",0,"Co_3_Med","8",1510,790,1930,2002,98115,476.827,-122.31,1590,3264
"37",37,9435300030,"5/28/2014",550000,4,1,1660,34848,1,"WF_NO",0,"Co_1_Low","5",930,730,1933,0,98052,476.621,-122.132,2160,11467
"38",38,2768000400,"12/30/2014",640000,2.88754747387217,1.25,2360,6000,2,"WF_NO",0,"Co_4_High","8",2360,0,1904,0,98107,476.702,-122.362,1730,4700
"39",39,7895500070,"2/13/2015",240000,4,1,1220,8075,1,"WF_NO",0,"Co_2_Med_low","7",890,330,1969,0,98001,473.341,-122.282,1290,7800
"40",40,2078500320,"6/20/2014",605000,4,2.5,2620,7553,2,"WF_NO",0,"Co_3_Med","8",2620,0,1996,0,98056,475.301,-122.18,2620,11884
"41",41,5547700270,"7/15/2014",625000,4,2.5,2570,5520,2,"WF_NO",0,"Co_3_Med","9",2570,0,2000,0,98074,476.145,-122.027,2470,5669
"42",42,7766200013,"08/11/2014",775000,4,2.25,4220,24186,1,"WF_NO",0,"Co_3_Med","8",2600,1620,1984,0,98166,47.445,-122.347,2410,30617
"43",43,7203220400,"07/07/2014",861990,5,2.75,3595,11119.4125939367,2,"WF_NO",0,"Co_3_Med","9",3595,0,2014,0,98053,476.848,-122.016,3625,5639
"44",44,9270200160,"10/28/2014",685000,3,1,1570,2280,2,"WF_NO",0,"Co_3_Med","7",1570,0,1922,0,98119,476.413,-122.364,1580,2640
"45",45,1432701230,"7/29/2014",309000,3,1,1280,9656,1,"WF_NO",0,"Co_4_High","6",920,360,1959,0,98058,474.485,-122.175,1340,8808
"46",46,8035350320,"7/18/2014",488000,3,2.5,3160,13603,2,"WF_NO",0,"Co_3_Med","8",3160,0,2003,0,98019,477.443,-121.977,3050,9232
"47",47,8945200830,"3/25/2015",210490,3,1,990,8528,1,"WF_NO",0,"Co_3_Med","6",990,0,1966,0,98023,473.066,-122.371,1228,8840
"48",48,4178300310,"7/16/2014",785000,4,2.5,2290,13416,2,"WF_NO",0,"Co_4_High","9",2290,0,1981,0,98007,476.194,-122.151,2680,13685
"49",49,9215400105,"4/28/2015",450000,3,1.75,1250,5963,1,"WF_NO",0,"Co_4_High","7",1250,0,1953,0,98115,476.796,-122.301,970,5100
"50",50,822039084,"03/11/2015",1350000,3,2.5,2753,52122.6274095518,1,"WF_SI",3,"Co_5_Top","9",2165,588,1940.59987516506,0,98070,474.041,-122.451,2680,72513
"51",51,5245600105,"9/16/2014",228000,3,1,1190,9199,1,"WF_NO",0,"Co_3_Med","3",1190,0,1955,0,98148,474.258,-122.322,1190,9364
"52",52,7231300125,"2/17/2015",345000,5,2.5,3150,9134,1,"WF_NO",0,"Co_4_High","8",1639.23715837587,1510,1966,0,98056,474.934,-122.189,1990,9133
"53",53,7518505990,"12/31/2014",6e+05,3,1.75,1410,4080,1,"WF_NO",0,"Co_4_High","7",1000,410,1950,0,98117,476.808,-122.384,1410,4080
"54",54,3626039271,"02/05/2015",585000,2,1.75,1980,8550,1,"WF_NO",0,"Co_3_Med","7",990,990,1981,0,98117,476.989,-122.369,1480,6738
"55",55,4217401195,"03/03/2015",920000,5,2.25,2730,6000,1.5,"WF_NO",0,"Co_3_Med","8",2130,600,1927,0,98105,476.571,-122.281,2730,6000
"56",56,9822700295,"05/12/2014",885000,4,2.5,2830,5000,2,"WF_NO",0,"Co_3_Med","9",2830,0,1995,0,98105,476.597,-122.29,1950,5000
"57",57,9478500640,"8/19/2014",292500,4,2.5,2250,4495,2,"WF_NO",0,"Co_3_Med","7",2250,0,2008,0,98042,473.663,-122.114,2250,4500
"58",58,2799800710,"04/07/2015",301000,3,2.5,2420,4750,2,"WF_NO",0,"Co_3_Med","8",2420,0,2003,0,98042,473.663,-122.122,2690,4750
"59",59,7922800400,"8/27/2014",951000,5,3.25,3250,14342,2,"WF_NO",4,"Co_4_High","8",3250,0,1968,0,98008,47.588,-122.116,2960,11044
"60",60,8079040320,"2/23/2015",430000,4,3,1850.09741707487,9976,2,"WF_NO",0,"Co_3_Med","8",1850,0,1991,0,98059,475.059,-122.149,2270,8542
"61",61,1516000055,"12/10/2014",650000,3,2.25,2150,21235,1,"WF_NO",3,"Co_4_High","8",1590,560,1959,0,98166,474.336,-122.339,2570,18900
"62",62,9558200045,"8/28/2014",289000,3,1.75,1260,8400,1,"WF_NO",0,"Co_3_Med","7",1260,0,1954,0,98148,474.366,-122.335,1290,8750
"63",63,5072410070,"10/21/2014",505000,3,1.75,2519,8690,2,"WF_NO",0,"Co_5_Top","8",2519,0,1973,0,98166,474.428,-122.344,2500,9500
"64",64,9528102996,"12/07/2014",549000,3,1.75,1540,1044,3,"WF_NO",0,"Co_3_Med","8",1540,0,2014,0,98115,476.765,-122.32,1580,3090
"65",65,1189001180,"06/03/2014",425000,3,2.25,1660,6000,1,"WF_NO",0,"Co_3_Med","7",1110,550,1979,0,98122,476.113,-122.297,1440,4080
"66",66,3253500160,"11/20/2014",317625,3,2.75,2262.8604218537,3809,1.5,"WF_NO",1,"Co_5_Top","7",1770,492.459913852268,1925,0,98144,475.747,-122.304,1440,4000
"67",67,3394100030,"09/09/2014",975000,4,2.5,2720,11049,2,"WF_NO",0,"Co_3_Med","10",2720,0,1989,0,98004,475.815,-122.192,2750,11049
"68",68,3717000160,"10/09/2014",287000,4,2.5,2240,4648,2,"WF_NO",0,"Co_3_Med","7",2240,0,2005,-45.3448481471499,98001,473.378,-122.257,2221,4557
"69",69,1274500060,"8/25/2014",204000,3,1,1000,12070,1,"WF_NO",0,"Co_4_High","7",1000,0,1968,0,98042,473.621,-122.11,1010,12635
"70",70,1802000060,"06/12/2014",1330000,5,2.25,3200,20158,1,"WF_NO",0,"Co_1_Low","8",1600.15821115522,1600,1977.77039701585,0,98004,476.303,-122.215,3390,20158
"71",71,1525059190,"09/12/2014",1040000,5,3.25,4770,50094,1,"WF_NO",0,"Co_4_High","11",3070,1700,1973,0,98005,476.525,-122.16,3530,38917
"72",72,1049000060,"01/05/2015",325000,3,2,1260,5612,1,"WF_NO",0,"Co_4_High","7",1260,0,1972,0,98034,477.362,-122.179,1640,4745
"73",73,8820901275,"06/10/2014",571000,4,2,2750,7807,1.5,"WF_NO",0,"Co_5_Top","7",2250,500,1916,0,98125,477.168,-122.287,1510,7807
"74",74,5416510140,"07/10/2014",360000,4,2.5,2380,5000,2,"WF_NO",0,"Co_3_Med","8",2380,0,2005,0,98038,473.608,-122.036,2420,5000
"75",75,3444100400,"3/16/2015",349000,3,1.75,1790,73269.5318085501,1,"WF_NO",0,"Co_5_Top","7",1090,700,1965,0,98042,473.511,-122.073,1940,50529
"76",76,3276920270,"11/05/2014",832500,4,4,3430,35102,2,"WF_NO",0,"Co_4_High","10",2390,1040,1986,0,98075,475.822,-121.987,3240,35020
"77",77,4036801170,"10/13/2014",380000,4,1.75,1760.13457085519,7300,1,"WF_NO",0,"Co_3_Med","7",880,880,1956,0,98008,476.034,-122.125,1680,7500
"78",78,2391600320,"4/20/2015",480000,1.17620261179652,1,1040,5060,1,"WF_NO",0,"Co_3_Med","7",1040,0,1941,0,98116,475.636,-122.394,890,5060
"79",79,6300000287,"06/09/2014",410000,3,1,1410,5060,1,"WF_NO",0,"Co_4_High","7",910,500,1956,0,98133,477.073,-122.34,1130,5693
"80",80,1531000030,"3/23/2015",720000,4,2.5,3450,39683,2,"WF_NO",0,"Co_3_Med","10",3450,0,2002,0,98010,47.342,-122.025,3350,39750
"81",81,5104520400,"12/02/2014",390000,3,2.5,2350,5100,2,"WF_NO",0,"Co_3_Med","8",2350,0,2003,0,98038,473.512,-122.008,2350,5363
"82",82,7437100340,"12/22/2014",360000,4,2.5,1900,5889,2,"WF_NO",0,"Co_3_Med","7",1900,0,1992,0,98038,47.349,-122.031,1870,6405
"83",83,9418400240,"10/28/2014",355000,2,1,2020,6720,1,"WF_NO",0,"Co_3_Med","7",1010,1010,1948,0,98118,475.474,-122.291,1720,6720
"84",84,1523059105,"1/28/2015",356000,3,1.5,1680,8712,1,"WF_NO",0,"Co_3_Med","8",1680,0,1964,0,98059,474.811,-122.149,1850,8797
"85",85,1133000671,"06/02/2014",315000,3,1,960,6634,1,"WF_NO",0,"Co_3_Med","6",960,0,1952,0,98125,477.264,-122.31,1570,7203
"86",86,4232902595,"11/14/2014",940000,3,1.5,2140,3600,2,"WF_NO",0,"Co_3_Med","9",1900,240,1925,0,98119,476.337,-122.365,2020,4800
"87",87,2599001200,"11/03/2014",305000,5,2.25,2660,8400,1.5,"WF_NO",0,"Co_5_Top","7",2660,0,1961,0,98092,472.909,-122.189,1590,8165
"88",88,3342103156,"6/18/2014",461000,3,3.25,2770,6278,2,"WF_NO",0,"Co_3_Med","9",1980,790,2006,0,98056,475.228,-122.199,1900,7349
"89",89,1332700270,"5/19/2014",215000,2,2.25,1610,2040,2,"WF_NO",0,"Co_4_High","7",1610,0,1979,0,98056,47.518,-122.194,1950,2025
"90",90,3869900162,"09/04/2014",335000,2,1.75,1030,1066,2,"WF_NO",0,"Co_3_Med","7",765,265,2006,0,98136,475.394,-122.387,1030,1106
"91",91,2791500270,"5/22/2014",243500,4,2.5,1980,7403,2,"WF_NO",0,"Co_3_Med","7",1980,0,1988,0,98023,472.897,-122.372,1980,7510
"92",92,5036300431,"03/11/2015",1100000,5,2.75,3520,6353,2,"WF_NO",0,"Co_4_High","10",3520,0,2001,0,98199,476.506,-122.391,2520,6250
"93",93,4168000060,"2/26/2015",153000,3,1,1200.68481557411,10500,1,"WF_NO",0,"Co_3_Med","7",1200,0,1962,0,98023,47.322,-122.351,1350,10500
"94",94,6021501535,"7/25/2014",430000,3,1.5,1580,5000,1,"WF_NO",0,"Co_3_Med","8",1290,290,1939,0,98117,47.687,-122.386,1570,4500
"95",95,6021501535,"12/23/2014",7e+05,3,1.5,1580,5000,1,"WF_NO",0,"Co_3_Med","8",1290,290,1939,0,98117,47.687,-122.386,1570,4500
"96",96,1483300570,"09/08/2014",905000,4,2.5,3300,10250,1,"WF_NO",0,"Co_3_Med","7",2390,910,1946,1991,98040,475.873,-122.249,1950,6045
"97",97,3422049190,"3/30/2015",247500,3,1.75,1960,15681,1,"WF_NO",0,"Co_3_Med","7",1960,0,1967,0,98032,473.576,-122.277,1750,15616
"98",98,1099611230,"09/12/2014",199000,4,1.5,1160,6400,1,"WF_NO",0,"Co_4_High","7",1160,0,1975,0,98023,473.036,-122.378,1160,6400
"99",99,722079104,"07/11/2014",314000,3,1.75,1810,41800,1,"WF_NO",0,"Co_5_Top","7",1210,600,1980,0,98038,474.109,-121.958,1650,135036
"100",100,7338200240,"5/16/2014",437500,3,2.5,2320,36847,2,"WF_NO",2,"Co_3_Med","9",2320,0,1992,0,98045,474.838,-121.714,2550,35065
"101",101,1952200240,"06/11/2014",850830,3,2.5,2070,13241,1.5,"WF_NO",0,"Co_5_Top","9",1270,800,1910,0,98102,476.415,-122.315,2200,4500
"102",102,5200100125,"10/27/2014",555000,3,2,1980,3478,1.5,"WF_NO",0,"Co_4_High","7",1440,540,1929,0,98117,476.775,-122.372,1610,3478
"103",103,7214720075,"12/12/2014",699950,3,2.25,2190,107593,2,"WF_NO",0,"Co_4_High","8",2190,0,1983,0,98077,477.731,-122.08,2570,47777
"104",104,2450000295,"10/07/2014",1090000,3,2.5,2920,8113,2,"WF_NO",0,"Co_3_Med","8",2920,0,1950,2010,98004,475.814,-122.196,2370,8113
"105",105,6197800045,"9/24/2014",290000,3,1,1210,33919,1,"WF_NO",0,"Co_3_Med","7",1210,0,1954,0,98058,474.375,-122.184,1640,14910
"106",106,1328310370,"04/02/2015",375000,3,2.5,2340,10005,1,"WF_NO",0,"Co_4_High","8",1460,880,1978,0,98058,474.431,-122.133,2250,8162
"107",107,546000875,"5/23/2014",460000,3,1,1670,4005,1.5,"WF_NO",0,"Co_4_High","s",1170,500,1939,0,98117,476.878,-122.38,1240,4005
"108",108,3530510041,"7/23/2014",188500,2,1.75,1240,2493,1,"WF_NO",0,"Co_4_High","8",1240,0,1985,0,98198,473.813,-122.322,1270,4966
"109",109,1853000400,"03/05/2015",680000,4,2.5,3140,28037,2,"WF_NO",0,"Co_4_High","10",3140,0,1991,0,98077,477.304,-122.082,2990,35001
"110",110,3134100116,"8/27/2014",470000,5,1.75,2030,12342,2,"WF_NO",0,"Co_4_High","7",2030,0,1942,0,98052,476.417,-122.109,2500,9433
"111",111,9545230140,"7/25/2014",597750,4,2.5,2310,9624,2,"WF_NO",0,"Co_3_Med","8",2310,0,1984,0,98027,475.386,-122.053,1940,9636
"112",112,3362400511,"03/04/2015",570000,3,1.75,1260,3328,1,"WF_NO",0,"Co_5_Top","6",700,560,1905,0,98103,476.823,-122.349,1380,3536
"113",113,2525310310,"9/16/2014",272500,3,1.75,1540,-4161.78707930088,1,"WF_NO",0,"Co_3_Med","7",1160,380,1980,0,98038,473.624,-122.031,1540,11656
"114",114,6126500060,"11/24/2014",329950,3,1.75,2080,5969,1,"WF_NO",2,"Co_3_Med","7",1080,1000,1971,0,98108,475.474,-122.295,2090,5500
"115",115,8961960160,"10/28/2014",480000,4,2.5,3230,16171,2,"WF_NO",3,"Co_3_Med","9",2520,710,2001,0,98001,473.183,-122.253,2640,8517
"116",116,3626039325,"11/21/2014",740500,3,3.5,4380,6350,2,"WF_NO",0,"Co_3_Med","8",2780,1600,1900,1999,98117,476.981,-122.368,1830,6350
"117",117,3362400431,"6/26/2014",518500,3,3.5,1590,1102,3,"WF_NO",0,"Co_3_Med","8",1590,0,2010,0,98103,476.824,-122.347,1620,3166
"118",118,4060000240,"6/23/2014",205425,2,1,880,6780,1,"WF_NO",0,"Co_4_High","6",880,0,1945,0,98178,475.009,-122.248,1190,6780
"119",119,3454800060,"01/08/2015",171800,4,2,1570,9600,1,"WF_NO",0,"Co_3_Med","6",1570,0,1950,0,98168,474.965,-122.303,1880,9000
"120",120,1695900060,"05/11/2015",535000,4,1,1610,2982,1.5,"WF_NO",0,"Co_4_High","7",1610,0,1925,0,98144,47.587,-122.294,1610,4040
"121",121,7278700070,"01/02/2015",660000,3,3.75,2400,6474,1,"WF_NO",2,"Co_3_Med","8",1560,840,1964,0,98177,477.728,-122.386,2340,10856
"122",122,6675500070,"11/19/2014",391500,3,2,1450,9132,1,"WF_NO",0,"Co_3_Med","7",1450,0,1987,0,98034,477.288,-122.226,1580,9104
"123",123,3626039187,"04/06/2015",395000,2,1,770,6000,1,"WF_NO",0,"Co_3_Med","6",770,0,1953,0,98117,476.999,-122.364,1710,6000
"124",124,3524049083,"11/04/2014",445000,4,1.75,2100,4400,1.5,"WF_NO",0,"Co_5_Top","7",1720,380,1924,0,98118,475.299,-122.266,1850,4400
"125",125,3275860240,"6/18/2014",770000,3,2.25,2910,10204,2,"WF_NO",0,"Co_3_Med","9",2910,0,1990,0,98052,476.897,-122.098,2700,13992
"126",126,4389200955,"03/02/2015",1450000,4,2.75,2750,17789,1.5,"WF_NO",0,"Co_3_Med","8",1980,770,1914,1992,98004,476.141,-122.212,3060,11275
"127",127,4058801670,"7/17/2014",445000,3,2.25,2100,8201,1,"WF_NO",2,"Co_3_Med","8",1620,478.948989621462,1967,0,98178,475.091,-122.244,2660,8712
"128",128,8732020310,"7/17/2014",260000,4,2.25,2160,8811,1,"WF_NO",0,"Co_3_Med","8",1360,800,1978,0,98023,473.129,-122.39,2090,8400
"129",129,2331300505,"6/13/2014",822500,5,3.5,2320,4960,2,"WF_NO",0,"Co_5_Top","7",1719.97682203805,600,1926,0,98103,476.763,-122.352,1700,4960
"130",130,7853210060,"04/06/2015",430000,4,2.5,2070,4310,2,"WF_NO",0,"Co_3_Med","7",2070,0,2004,0,98065,475.319,-121.85,1970,3748
"131",131,3668000070,"01/05/2015",212000,3,1.75,1060,7875,1,"WF_NO",0,"Co_4_High","7",1060,0,1986,0,98092,472.761,-122.152,1420,7680
"132",132,9545240070,"4/28/2015",660500,4,2.25,2010,9603,1,"WF_NO",0,"Co_3_Med","8",1440,570,1986,0,98027,475.343,-122.054,2060,9793
"133",133,1243100136,"06/12/2014",784000,3,3.5,3950,111078,1.5,"WF_NO",0,"Co_3_Med","9",2460,1490,1989,0,98052,47.697,-122.072,2480,88500
"134",134,8929000270,"05/12/2014",453246,3,2.5,2010,2287,2,"WF_NO",0,"Co_3_Med","8",1390,620,2014,0,98029,475.517,-121.998,1690,1662
"135",135,2767602356,"1/26/2015",675000,4,3.5,2140,2278,3,"WF_NO",0,"Co_3_Med","9",2140,0,2005,0,98107,476.734,-122.38,1540,2285
"136",136,921049315,"8/13/2014",199000,3,1.75,1320,17390,1,"WF_NO",0,"Co_4_High","7",1320,0,1956,0,98003,473.257,-122.296,1550,19265
"137",137,3655000070,"08/05/2014",220000,4,1.75,2020,7840,1,"WF_NO",0,"Co_3_Med","7",1010,1010,1968,0,98003,473.309,-122.299,1750,8140
"138",138,4027700812,"5/29/2014",452000,4,2.25,2590,10002,1,"WF_NO",0,"Co_4_High","8",1340,1250,1968,0,98028,477.689,-122.266,1550,10436
"139",139,3992700335,"07/07/2014",382500,2,1,1190,4440,1,"WF_NO",0,"Co_3_Med","6",1190,0,1981,0,98125,477.135,-122.287,1060,5715
"140",140,2767603505,"05/07/2014",519950,3,2.25,1170,1249,3,"WF_NO",0,"Co_3_Med","8",1170,0,2014,0,98107,476.722,-122.381,1350,1310
"141",141,4232901525,"6/27/2014",665000,2,1,1110,3200,1,"WF_NO",0,"Co_3_Med","7",1110,0,1925,0,98119,476.338,-122.358,1170,3600
"142",142,1777500060,"07/08/2014",527700,5,2.5,2820,9375,1,"WF_NO",0,"Co_4_High","8",1550,1270,1968,0,98006,475.707,-122.128,2820,9375
"143",143,1432900240,"05/08/2015",205000,3,1,1610,8579,1,"WF_NO",0,"Co_4_High","7",1010,600,1962,0,98058,474.563,-122.171,1610,8579
"144",144,6140100875,"4/15/2015",420000,3,1,1060,8097,1,"WF_NO",0,"Co_4_High","7",940,120,1923,0,98133,477.144,-122.351,1560,7940
"145",145,6071600370,"2/27/2015",5e+05,4,2.25,2030,8517,1,"WF_NO",0,"Co_4_High","8",1380,650,1961,0,98006,475.495,-122.174,2230,8824
"146",146,1526069017,"12/03/2014",921500,4,2.5,3670,85279.0090483802,2,"WF_NO",0,"Co_4_High","9",3670,0,1994,0,98077,477.421,-122.026,2840,87991
"147",147,809001525,"6/25/2014",890000,4,1,2550,4000,2,"WF_NO",0,"Co_3_Med","8",2370,180,1905,0,98109,476.354,-122.353,2200,4000
"148",148,3224079105,"08/06/2014",430000,2,2.5,2420,60984,2,"WF_NO",0,"Co_3_Med","7",2420,0,2007,0,98027,475.262,-121.943,1940,193842
"149",149,8075400570,"10/30/2014",258000,5,2,2260,12500,1,"WF_NO",0,"Co_4_High","8",1130,1130,1960,0,98032,473.887,-122.286,1360,18000
"150",150,1994200024,"11/04/2014",511000,3,1,1430,3455,1,"WF_NO",0,"Co_3_Med","7",980,450,1947,0,98103,476.873,-122.336,1450,4599
"151",151,3362900810,"8/20/2014",532170,3,2,1360,3090,2,"WF_NO",0,"Co_3_Med","8",1360,0,1990,0,98103,476.838,-122.353,1500,3090
"152",152,1324300398,"04/09/2015",560000,3,1,1110,5000,1.5,"WF_NO",0,"Co_3_Med","7",1110,0,1947,0,98107,47.655,-122.359,1420,5000
"153",153,537000445,"3/31/2015",282950,3,1,1250,8200,1,"WF_NO",0,"Co_4_High","7",1250,0,1954,0,98003,473.255,-122.304,1680,8633
"154",154,7855801670,"04/01/2015",2250000,4,3.25,5180,19850,2,"WF_NO",3,"Co_3_Med","12",3540,1640,2006,0,98006,47.562,-122.162,3160,9750
"155",155,7920100045,"5/16/2014",350000,1,1,700,5100,1,"WF_NO",0,"Co_3_Med","7",700,0,1942,0,98115,47.679,-122.3,1010,5100
"156",156,8960000030,"7/28/2014",215000,3,1,1180,7669,1,"WF_NO",0,"Co_4_High","7",1180,0,1967,0,98058,474.479,-122.176,1190,7669
"157",157,6388930390,"11/20/2014",650000,5,3.5,3960,25245,2,"WF_NO",0,"Co_3_Med","9",2500,1460,1996,0,98056,47.525,-122.172,2640,13675
"158",158,8731900200,"08/07/2014",320000,4,2.75,2640,7500,1,"WF_NO",0,"Co_3_Med","8",1620,1020,1967,0,98023,473.135,-122.369,1980,7875
"159",159,8029200135,"11/13/2014",247000,3,2,1270,7198,1.5,"WF_NO",0,"Co_3_Med","7",1270,0,1916,2013,98022,472.086,-121.996,1160,7198
"160",160,1081200350,"10/03/2014",320000,4,1.75,1760,11180,1,"WF_NO",0,"Co_4_High","8",1760,0,1968,0,98059,474.715,-122.118,1730,11180
"161",161,84000105,"05/07/2014",255000,5,2.25,2060,8632,1,"WF_NO",0,"Co_3_Med","7",1030,1030,1962,0,98146,474.877,-122.335,1010,11680
"162",162,3756500060,"03/09/2015",438000,3,1.75,1780,9660,1,"WF_NO",0,"Co_3_Med","7",1780,0,1962,0,98034,477.171,-122.193,1200,9660
"163",163,7215720160,"03/04/2015",9e+05,3,2.5,3400,16603,2,"WF_NO",0,"Co_3_Med","10",3400,0,2000,0,98075,476.012,-122.023,3400,12601
"164",164,3574800520,"6/20/2014",441000,3,2,1910,7280,1,"WF_NO",0,"Co_3_Med","7",1160,750,1979,0,98034,477.319,-122.224,1710,8152
"165",165,2617300160,"08/12/2014",420000,3.04471998934446,2,2020,38332,1,"WF_NO",0,"Co_4_High","7",1010,1010,1975,0,98027,474.582,-122.023,2110,36590
