"X.2","X.1","X","Y","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","cluster","hclust","Cluster_final","target"
57,57,11.5624178895088,-21.8643564413517,9478500640,"8/19/2014",292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,3,5,"low","0"
58,58,9.5050989557298,-15.8517944579434,2799800710,"4/7/2015",301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,3,5,"low","0"
59,59,-5.23023391021633,-3.11899729474195,7922800400,"8/27/2014",951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,3,3,"med","1"
60,60,6.26519478732032,-21.6272759071783,8079040320,"2/23/2015",430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,3,4,"med","0"
61,61,-13.8583707055711,10.2572806175062,1516000055,"12/10/2014",650000,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,2570,18900,2,6,"med","1"
62,62,3.79966785430837,21.1100270769662,9558200045,"8/28/2014",289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,1,1,"low","0"
63,63,-11.0450200560445,4.13311367414437,5072410070,"10/21/2014",505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,3,6,"med","0"
65,65,-1.66978075770775,8.16349413526935,1189001180,"6/3/2014",425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,1,6,"med","0"
66,66,-8.5429427903245,26.3713641904207,3253500160,"11/20/2014",317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,1,1,"low","0"
67,67,-2.09502628670244,-16.3213278485633,3394100030,"9/9/2014",975000,4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,3,8,"top","1"
68,68,15.1906584505465,-15.2777363162406,3717000160,"10/9/2014",287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,3,5,"low","0"
69,69,17.8685682425663,2.82361246977612,1274500060,"8/25/2014",204000,3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,2,9,"low","0"
71,71,9.81087076184369,-1.65017796197314,1525059190,"9/12/2014",1040000,5,3.25,4770,50094,1,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917,2,3,"med","1"
72,72,6.74125124281545,4.66278321161506,1049000060,"1/5/2015",325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,2,3,"med","0"
73,73,-5.84706614637105,27.8366213491506,8820901275,"6/10/2014",571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,1,1,"low","0"
74,74,9.85606739759757,-18.5288646791735,5416510140,"7/10/2014",360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,3,5,"low","0"
75,75,15.3466784208775,2.5261045932659,3444100400,"3/16/2015",349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,2,9,"low","0"
77,77,8.8528825482683,2.19782095080569,4036801170,"10/13/2014",380000,4,1.75,1760,7300,1,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,2,3,"med","0"
79,79,-4.52437886465174,17.2305574033134,6300000287,"6/9/2014",410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,1,1,"low","0"
80,80,7.92433730266193,-17.7848614891332,1531000030,"3/23/2015",720000,4,2.5,3450,39683,2,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750,3,5,"low","1"
82,82,11.1906035122691,-21.1994719704149,7437100340,"12/22/2014",360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,3,5,"low","0"
83,83,0.39814543411889,24.4177993044692,9418400240,"10/28/2014",355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,1,1,"low","0"
85,85,0.000178143135420305,14.2482015191606,1133000671,"6/2/2014",315000,3,1,960,6634,1,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,1,1,"low","0"
86,86,-11.3289681232624,22.1392079927463,4232902595,"11/14/2014",940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,1,1,"low","1"
87,87,16.7070725895403,4.82098310703923,2599001200,"11/3/2014",305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,2,9,"low","0"
89,89,9.06807241132878,-9.57757433022713,1332700270,"5/19/2014",215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,3,5,"low","0"
90,90,-19.8810369197391,-4.83046903969071,3869900162,"9/4/2014",335000,2,1.75,1030,1066,2,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,3,7,"med","0"
91,91,16.1494772931887,-14.0993543478847,2791500270,"5/22/2014",243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,3,5,"low","0"
93,93,21.2044327016933,-0.607397339997632,4168000060,"2/26/2015",153000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,2,9,"low","0"
94,94,-1.38740982985498,19.1568991466067,6021501535,"7/25/2014",430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,1,1,"low","0"
95,95,-1.44850780024762,18.8147687906978,6021501535,"12/23/2014",7e+05,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,1,1,"low","1"
98,98,19.6324238382924,2.15376049028005,1099611230,"9/12/2014",199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,2,9,"low","0"
99,99,15.3312562198064,2.84595179849932,722079104,"7/11/2014",314000,3,1.75,1810,41800,1,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036,2,9,"low","0"
100,100,5.0831659045817,-28.4432967515923,7338200240,"5/16/2014",437500,3,2.5,2320,36847,2,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,2550,35065,3,4,"med","0"
103,103,-0.193428217935513,-22.3538971046515,7214720075,"12/12/2014",699950,3,2.25,2190,107593,2,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777,3,4,"med","1"
105,105,15.9663434845116,8.6023918075495,6197800045,"9/24/2014",290000,3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,1640,14910,2,9,"low","0"
106,106,13.7456584624923,0.0254166887155584,1328310370,"4/2/2015",375000,3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,2,9,"low","0"
107,107,-5.7038766653228,21.1388076481554,546000875,"5/23/2014",460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,1,1,"low","0"
109,109,-4.63994770710604,-13.3043193388006,1853000400,"3/5/2015",680000,4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.082,2990,35001,3,8,"top","1"
110,110,-0.401466747922319,-9.1286978571057,3134100116,"8/27/2014",470000,5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,3,8,"top","0"
112,112,-4.54950523714726,21.5198835176784,3362400511,"3/4/2015",570000,3,1.75,1260,3328,1,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536,1,1,"low","0"
113,113,16.7883005482372,1.50310335120676,2525310310,"9/16/2014",272500,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,2,9,"low","0"
116,116,-24.3438126616384,8.53062142470327,3626039325,"11/21/2014",740500,3,3.5,4380,6350,2,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350,1,2,"top","1"
120,120,-7.08348417912278,22.3372666790884,1695900060,"5/11/2015",535000,4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040,1,1,"low","0"
121,121,-14.8302052789287,11.2130388172951,7278700070,"1/2/2015",660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,1,6,"med","1"
123,123,-0.227333205949627,15.3610954911437,3626039187,"4/6/2015",395000,2,1,770,6000,1,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000,1,1,"low","0"
125,125,-4.23832677123262,-15.5534949334229,3275860240,"6/18/2014",770000,3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,3,8,"top","1"
126,126,-26.2332647060967,5.47128891317071,4389200955,"3/2/2015",1450000,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,3,2,"top","1"
128,128,25.8190709653114,-1.80378076428741,8732020310,"7/17/2014",260000,4,2.25,2160,8811,1,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,2,9,"low","0"
129,129,-9.39965683636894,25.1923504015957,2331300505,"6/13/2014",822500,5,3.5,2320,4960,2,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,1,1,"low","1"
130,130,4.77526136897462,-25.8762123447421,7853210060,"4/6/2015",430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,3,4,"med","0"
132,132,4.79059661114053,-6.07444672457198,9545240070,"4/28/2015",660500,4,2.25,2010,9603,1,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,3,8,"top","1"
135,135,-23.2797992856325,-7.73335875057025,2767602356,"1/26/2015",675000,4,3.5,2140,2278,3,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,3,7,"med","1"
136,136,19.6186536654722,1.83417794937351,921049315,"8/13/2014",199000,3,1.75,1320,17390,1,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265,2,9,"low","0"
139,139,-1.48258332747979,15.7110114015146,3992700335,"7/7/2014",382500,2,1,1190,4440,1,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,1,1,"low","0"
140,140,-24.2410889611016,-8.10706203820183,2767603505,"5/7/2014",519950,3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,3,7,"med","0"
141,141,-0.703970994411069,18.9706863210316,4232901525,"6/27/2014",665000,2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,1,1,"low","1"
142,142,10.0456721840793,-0.827507076646238,1777500060,"7/8/2014",527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375,2,3,"med","0"
144,144,-2.95088679854425,22.3514167771078,6140100875,"4/15/2015",420000,3,1,1060,8097,1,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940,1,1,"low","0"
145,145,7.69445326850622,-2.9511258838002,6071600370,"2/27/2015",5e+05,4,2.25,2030,8517,1,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,8824,2,3,"med","0"
146,146,-4.53893808385169,-13.03229138352,1526069017,"12/3/2014",921500,4,2.5,3670,315374,2,0,0,4,9,3670,0,1994,0,98077,47.7421,-122.026,2840,87991,3,8,"top","1"
148,148,2.45112990455807,-12.1364383192985,3224079105,"8/6/2014",430000,2,2.5,2420,60984,2,0,0,3,7,2420,0,2007,0,98027,47.5262,-121.943,1940,193842,3,8,"top","0"
150,150,0.122167397202825,15.3996600771529,1994200024,"11/4/2014",511000,3,1,1430,3455,1,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599,1,1,"low","0"
151,151,-17.8125786855539,-6.45981797695786,3362900810,"8/20/2014",532170,3,2,1360,3090,2,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,3090,3,7,"med","0"
152,152,1.35127952097407,14.9778723623773,1324300398,"4/9/2015",560000,3,1,1110,5000,1.5,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,5000,1,1,"low","0"
153,153,19.7544757097875,2.56255459766803,537000445,"3/31/2015",282950,3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633,2,9,"low","0"
154,154,-8.09906874487681,-24.202533542781,7855801670,"4/1/2015",2250000,4,3.25,5180,19850,2,0,3,3,12,3540,1640,2006,0,98006,47.562,-122.162,3160,9750,3,8,"top","1"
155,155,-0.211799651247973,20.8094684990828,7920100045,"5/16/2014",350000,1,1,700,5100,1,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5100,1,1,"low","0"
157,157,-0.581925459391795,-28.0133748296369,6388930390,"11/20/2014",650000,5,3.5,3960,25245,2,0,0,3,9,2500,1460,1996,0,98056,47.525,-122.172,2640,13675,3,4,"med","1"
158,158,26.0920582660262,-1.8354003553163,8731900200,"8/7/2014",320000,4,2.75,2640,7500,1,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875,2,9,"low","0"
159,159,-30.442730220535,6.87322289110967,8029200135,"11/13/2014",247000,3,2,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.996,1160,7198,2,2,"top","0"
160,160,13.5246682576038,1.14967146554241,1081200350,"10/3/2014",320000,4,1.75,1760,11180,1,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,11180,2,9,"low","0"
161,161,-3.0725170350802,7.93814277245133,84000105,"5/7/2014",255000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680,1,6,"med","0"
164,164,3.11094448014011,2.34190395010674,3574800520,"6/20/2014",441000,3,2.75,1910,7280,1,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.224,1710,8152,2,3,"med","0"
165,165,12.5190271250331,-3.33525729804239,2617300160,"8/12/2014",420000,3,2,2020,38332,1,0,0,4,7,1010,1010,1975,0,98027,47.4582,-122.023,2110,36590,2,9,"low","0"
168,168,-2.36885758896567,-15.7945263452661,1836980160,"3/24/2015",807100,4,2.5,2680,4499,2,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500,3,8,"top","1"
169,169,5.84062112809535,0.776954605789695,3261020370,"6/5/2014",653000,3,2.5,2680,9750,1,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.231,2480,8750,2,3,"med","1"
170,170,-2.23491621867872,12.6861185293021,1755700060,"6/11/2014",371500,3,2,1370,8336,1,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288,1,1,"low","0"
171,171,-7.60133138711233,9.5029799819587,4330600435,"3/16/2015",284000,3,1.75,1560,21000,1,0,0,3,7,1560,0,1954,0,98166,47.4776,-122.337,1070,7920,1,6,"med","0"
173,173,-1.82778341958774,13.8609056684502,1999700045,"5/2/2014",313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940,1,1,"low","0"
174,174,-5.91872301532199,-17.7872302177462,1762600070,"1/16/2015",917500,4,2.5,3880,35003,2,0,0,3,10,2570,1310,1984,0,98033,47.6477,-122.182,3740,35230,3,8,"top","1"
175,175,-0.615666364862364,-12.8715663642502,1687900520,"9/29/2014",673000,4,2.25,2590,8190,2,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335,2,8,"top","1"
176,176,-17.9106377868485,-10.1695770865643,7234600798,"2/10/2015",425000,3,2.5,1120,1100,2,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,1795,3,7,"med","0"
177,177,-2.80911617448152,6.93150776820816,3881900445,"7/9/2014",399950,5,2.75,1970,5400,1,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.308,1280,2150,1,6,"med","0"
181,181,12.1728594178814,-16.2681117348458,3830630310,"7/25/2014",260000,3,2.5,1670,5797,2,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,6183,3,5,"low","0"
182,182,-4.89306697751167,26.4307806489381,8123100045,"4/14/2015",470000,4,3,2380,5125,1.5,0,0,4,7,1680,700,1925,0,98126,47.5384,-122.376,1410,5375,1,1,"low","0"
183,183,0.185904805702937,-10.2981928408238,3127200041,"6/13/2014",589000,4,3,2440,9600,2,0,0,5,7,2440,0,1961,0,98034,47.7044,-122.2,2290,9600,3,8,"top","0"
184,184,11.8282462342129,-18.717637073279,6661200320,"7/23/2014",163500,2,1.5,1050,3419,2,0,0,3,7,1050,0,1996,0,98038,47.3848,-122.039,1050,3417,3,5,"low","0"
186,186,-5.72607463232356,-0.786344420263595,825059270,"11/21/2014",1100000,5,3,4090,12850,1,0,2,4,10,2090,2000,1986,0,98033,47.6627,-122.188,2540,10270,2,3,"med","1"
187,187,25.9146124713766,-0.187695370882157,8731951370,"4/15/2015",269000,4,1.75,1490,10000,1,0,0,4,8,1100,390,1969,0,98023,47.3099,-122.379,2190,8910,2,9,"low","0"
188,188,-3.31509068159696,-13.0430189130433,1954440060,"5/5/2014",560000,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,0,98074,47.62,-122.043,2030,8744,3,8,"top","0"
192,192,13.6404411545776,6.90544926750657,1432600560,"11/5/2014",166950,3,1,1190,8820,1,0,0,3,6,1190,0,1959,0,98058,47.4616,-122.184,1230,7980,2,9,"low","0"
193,193,11.1207942436636,0.770464304058213,2287000060,"9/12/2014",799000,3,2.5,2140,9897,1,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,2680,10083,2,3,"med","1"
195,195,-2.26909831789562,15.2271729819221,3996900125,"12/1/2014",230000,3,1,1060,10228,1,0,0,3,7,1060,0,1948,0,98155,47.7481,-122.3,1570,10228,1,1,"low","0"
197,197,-2.74940062226858,28.3849394404027,7549802535,"11/11/2014",423000,4,2,1970,6480,1.5,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.312,1500,6480,1,1,"low","0"
198,198,-16.9444542652064,-5.06153789476325,3278600320,"7/23/2014",465000,3,2.5,2150,4084,2,0,0,3,8,2150,0,2007,0,98126,47.5488,-122.372,1750,2385,3,7,"med","0"
199,199,2.35518491137728,-11.6019136167369,2824079053,"1/13/2015",440000,3,2.5,1910,66211,2,0,0,3,7,1910,0,1997,0,98024,47.5385,-121.911,2330,67268,3,8,"top","0"
200,200,16.4319242723458,2.87878994057176,1222069094,"10/14/2014",385000,3,1.75,1350,155073,1,0,0,4,7,1350,0,1969,0,98038,47.4058,-121.994,1560,50965,2,9,"low","0"
201,201,13.9708326445139,8.71060808161939,3542300060,"3/11/2015",210000,3,1,860,11725,1,0,0,4,6,860,0,1943,0,98056,47.5093,-122.184,1300,9514,2,9,"low","0"
202,202,10.3618409292603,-14.2408111965645,2222059065,"11/12/2014",297000,3,2.5,1940,14952,2,0,0,3,8,1940,0,1994,0,98042,47.3777,-122.165,2030,10450,3,5,"low","0"
204,204,19.4490518009154,1.6692378717917,100600550,"8/4/2014",226500,3,1.5,1300,7370,1,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500,2,9,"low","0"
205,205,14.1521283385228,4.87112653234928,3211100860,"3/3/2015",274250,3,1,910,8450,1,0,0,4,6,910,0,1962,0,98059,47.4787,-122.158,1400,8040,2,9,"low","0"
206,206,10.1082501366993,-2.27818577775473,3456000310,"8/4/2014",840000,4,1.75,2480,11010,1,0,0,4,9,1630,850,1966,0,98040,47.5378,-122.219,2770,10744,2,3,"med","1"
208,208,0.439706254044401,22.6153165375853,7465900060,"2/5/2015",425000,3,1,1010,5864,1,0,0,3,7,1010,0,1915,0,98116,47.5733,-122.381,1290,5000,1,1,"low","0"
209,209,4.41014323253705,13.8679196081372,1222000055,"11/23/2014",180250,2,0.75,900,9600,1,0,0,3,6,900,0,1941,0,98166,47.4604,-122.339,1250,14280,1,1,"low","0"
